marque,nom,puissance,longueur,nbPlaces,nbPortes,couleur,occasion,prix,Moyenne Bonus/Malus en euro,Moyenne Rejets CO2 g/km,Cout Energie Moyen en euro
Kia,Picanto 1.1,65,courte,5,5,blanc,false,8990,-6000,31,157.667
Kia,Picanto 1.1,65,courte,5,5,gris,false,8990,-6000,31,157.667
Kia,Picanto 1.1,65,courte,5,5,noir,false,8990,-6000,31,157.667
Kia,Picanto 1.1,65,courte,5,5,rouge,false,8990,-6000,31,157.667
Kia,Picanto 1.1,65,courte,5,5,bleu,false,8990,-6000,31,157.667
Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,false,37100,-6000,0,271
Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,true,25970,-6000,0,271
Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,true,25970,-6000,0,271
Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,false,37100,-6000,0,271
Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,true,25970,-6000,0,271
Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,true,25970,-6000,0,271
Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,true,25970,-6000,0,271
Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,false,37100,-6000,0,271
Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100,-6000,0,271
Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,false,37100,-6000,0,271
HyundaÃ¯,Matrix 1.6,103,longue,7,5,bleu,false,15960,6137.231,158.495,561.465
HyundaÃ¯,Matrix 1.6,103,longue,7,5,blanc,false,15960,6137.231,158.495,561.465
HyundaÃ¯,Matrix 1.6,103,longue,7,5,gris,false,15960,6137.231,158.495,561.465
HyundaÃ¯,Matrix 1.6,103,longue,7,5,noir,false,15960,6137.231,158.495,561.465
HyundaÃ¯,Matrix 1.6,103,longue,7,5,rouge,false,15960,6137.231,158.495,561.465
Honda,FR-V 1.7,125,longue,7,5,noir,false,19550,6137.231,158.495,561.465
Honda,FR-V 1.7,125,longue,7,5,bleu,false,19550,6137.231,158.495,561.465
Honda,FR-V 1.7,125,longue,7,5,gris,false,19550,6137.231,158.495,561.465
Honda,FR-V 1.7,125,longue,7,5,blanc,false,19550,6137.231,158.495,561.465
Honda,FR-V 1.7,125,longue,7,5,rouge,false,19550,6137.231,158.495,561.465
Ford,Mondeo 1.8,125,longue,5,5,blanc,true,16730,6137.231,158.495,561.465
Ford,Mondeo 1.8,125,longue,5,5,gris,true,16730,6137.231,158.495,561.465
Ford,Mondeo 1.8,125,longue,5,5,bleu,true,16730,6137.231,158.495,561.465
Ford,Mondeo 1.8,125,longue,5,5,noir,true,16730,6137.231,158.495,561.465
Ford,Mondeo 1.8,125,longue,5,5,rouge,true,16730,6137.231,158.495,561.465
Ford,Mondeo 1.8,125,longue,5,5,bleu,false,23900,6137.231,158.495,561.465
Ford,Mondeo 1.8,125,longue,5,5,blanc,false,23900,6137.231,158.495,561.465
Ford,Mondeo 1.8,125,longue,5,5,noir,false,23900,6137.231,158.495,561.465
Ford,Mondeo 1.8,125,longue,5,5,gris,false,23900,6137.231,158.495,561.465
Ford,Mondeo 1.8,125,longue,5,5,rouge,false,23900,6137.231,158.495,561.465
Fiat,Croma 2.2,147,longue,5,5,blanc,true,17346,6137.231,158.495,561.465
Fiat,Croma 2.2,147,longue,5,5,bleu,true,17346,6137.231,158.495,561.465
Fiat,Croma 2.2,147,longue,5,5,rouge,true,17346,6137.231,158.495,561.465
Fiat,Croma 2.2,147,longue,5,5,gris,true,17346,6137.231,158.495,561.465
Fiat,Croma 2.2,147,longue,5,5,rouge,false,24780,6137.231,158.495,561.465
Fiat,Croma 2.2,147,longue,5,5,bleu,false,24780,6137.231,158.495,561.465
Fiat,Croma 2.2,147,longue,5,5,noir,true,17346,6137.231,158.495,561.465
Fiat,Croma 2.2,147,longue,5,5,blanc,false,24780,6137.231,158.495,561.465
Fiat,Croma 2.2,147,longue,5,5,noir,false,24780,6137.231,158.495,561.465
Fiat,Croma 2.2,147,longue,5,5,gris,false,24780,6137.231,158.495,561.465
Daihatsu,Cuore 1.0,58,courte,5,3,noir,false,8850,6137.231,158.495,561.465
Daihatsu,Cuore 1.0,58,courte,5,3,blanc,false,8850,6137.231,158.495,561.465
Daihatsu,Cuore 1.0,58,courte,5,3,rouge,false,8850,6137.231,158.495,561.465
Daihatsu,Cuore 1.0,58,courte,5,3,bleu,false,8850,6137.231,158.495,561.465
Daihatsu,Cuore 1.0,58,courte,5,3,gris,false,8850,6137.231,158.495,561.465
Dacia,Logan 1.6 MPI,90,moyenne,5,5,blanc,false,7500,6137.231,158.495,561.465
Dacia,Logan 1.6 MPI,90,moyenne,5,5,rouge,false,7500,6137.231,158.495,561.465
Dacia,Logan 1.6 MPI,90,moyenne,5,5,noir,false,7500,6137.231,158.495,561.465
Dacia,Logan 1.6 MPI,90,moyenne,5,5,gris,false,7500,6137.231,158.495,561.465
Dacia,Logan 1.6 MPI,90,moyenne,5,5,bleu,false,7500,6137.231,158.495,561.465
BMW,M5,507,très longue,5,5,bleu,true,66360,-6000,43.882,80.526
BMW,M5,507,très longue,5,5,gris,false,94800,-6000,43.882,80.526
BMW,M5,507,très longue,5,5,blanc,false,94800,-6000,43.882,80.526
BMW,M5,507,très longue,5,5,noir,false,94800,-6000,43.882,80.526
BMW,M5,507,très longue,5,5,rouge,true,66360,-6000,43.882,80.526
BMW,M5,507,très longue,5,5,blanc,true,66360,-6000,43.882,80.526
BMW,M5,507,très longue,5,5,bleu,false,94800,-6000,43.882,80.526
BMW,M5,507,très longue,5,5,gris,true,66360,-6000,43.882,80.526
BMW,M5,507,très longue,5,5,rouge,false,94800,-6000,43.882,80.526
BMW,M5,507,très longue,5,5,noir,true,66360,-6000,43.882,80.526
BMW,120i,150,moyenne,5,5,rouge,true,25060,-6000,43.882,80.526
BMW,120i,150,moyenne,5,5,bleu,false,35800,-6000,43.882,80.526
BMW,120i,150,moyenne,5,5,blanc,false,35800,-6000,43.882,80.526
BMW,120i,150,moyenne,5,5,gris,false,35800,-6000,43.882,80.526
BMW,120i,150,moyenne,5,5,rouge,false,35800,-6000,43.882,80.526
BMW,120i,150,moyenne,5,5,bleu,true,25060,-6000,43.882,80.526
BMW,120i,150,moyenne,5,5,gris,true,25060,-6000,43.882,80.526
BMW,120i,150,moyenne,5,5,noir,true,25060,-6000,43.882,80.526
BMW,120i,150,moyenne,5,5,blanc,true,25060,-6000,43.882,80.526
BMW,120i,150,moyenne,5,5,noir,false,35800,-6000,43.882,80.526
Audi,A3 2.0 FSI,150,moyenne,5,5,noir,true,19950,-6000,43.5,191.6
Audi,A3 2.0 FSI,150,moyenne,5,5,noir,false,28500,-6000,43.5,191.6
Audi,A3 2.0 FSI,150,moyenne,5,5,rouge,false,28500,-6000,43.5,191.6
Audi,A3 2.0 FSI,150,moyenne,5,5,gris,true,19950,-6000,43.5,191.6
Audi,A3 2.0 FSI,150,moyenne,5,5,blanc,false,28500,-6000,43.5,191.6
Audi,A3 2.0 FSI,150,moyenne,5,5,blanc,true,19950,-6000,43.5,191.6
Audi,A3 2.0 FSI,150,moyenne,5,5,bleu,true,19950,-6000,43.5,191.6
Audi,A3 2.0 FSI,150,moyenne,5,5,bleu,false,28500,-6000,43.5,191.6
Audi,A3 2.0 FSI,150,moyenne,5,5,gris,false,28500,-6000,43.5,191.6
Audi,A3 2.0 FSI,150,moyenne,5,5,rouge,true,19950,-6000,43.5,191.6
Audi,A2 1.4,75,courte,5,5,noir,true,12817,-6000,43.5,191.6
Audi,A2 1.4,75,courte,5,5,bleu,false,18310,-6000,43.5,191.6
Audi,A2 1.4,75,courte,5,5,gris,false,18310,-6000,43.5,191.6
Audi,A2 1.4,75,courte,5,5,bleu,true,12817,-6000,43.5,191.6
Audi,A2 1.4,75,courte,5,5,gris,true,12817,-6000,43.5,191.6
Audi,A2 1.4,75,courte,5,5,noir,false,18310,-6000,43.5,191.6
Audi,A2 1.4,75,courte,5,5,rouge,false,18310,-6000,43.5,191.6
Audi,A2 1.4,75,courte,5,5,blanc,true,12817,-6000,43.5,191.6
Audi,A2 1.4,75,courte,5,5,rouge,true,12817,-6000,43.5,191.6
Audi,A2 1.4,75,courte,5,5,blanc,false,18310,-6000,43.5,191.6
